"Data Source","World Development Indicators",

"Last Updated Date","2025-01-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Aruba","ABW","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","0","1087875.7","12264016.6","1300000","130502793.296089","184748603.351955","-36983240.2234637","-17932960.8938547","-73184357.5418994","-5530726.25698324","85027932.9608939","197821229.050279","113463687.150838","467541899.441341","-127932960.893855","-266927374.301676","332513966.480447","159776536.312849","-105698324.022346","-207798005.868163","220316139.723839","-471005586.592179","18882681.5642458","-10614525.1396648","186759776.536313","488156424.581006","-314692737.430168","272088145.377015","208344037.245165","-26881396.993856","27550827.0999312","162456842.302022","144146269.421966","-75226540.6843182","161066979.086053","133545121.178455","248150282.616618","91445330",
"Africa Eastern and Southern","AFE","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","","421709865.5601","326490932.3561","218888245.6811","176559138.7134","898515563.30674","316834707.284757","411261082.713661","67103622.206923","168439069.521513","-12312370.2354044","483620276.464599","372130053.332138","581698643.395737","86246455.0162176","598858245.285658","106432296.255464","411045300.703155","279804684.253772","536594623.832505","400488555.909831","94413056.9135137","1231958645.47255","584154966.217141","468485338.985743","996945054.085173","2400241386.50553","1826204759.63914","5355071163.08003","3120227386.42316","5656476038.77111","3881361617.38531","11467338844.3169","5648325269.65186","7353179756.70481","6521900284.68569","10198789523.1732","7052533343.52867","15838944006.443","22211340616.8784","18166593835.8484","13430620060.0955","17122191722.7342","23918001711.4997","21895675453.7912","27069454531.2765","28169558191.1813","15927498056.0006","9513740667.59766","12763546323.1779","14154597572.3204","12491288324.2089","53552809030.5195","19894922744.814","19670867886.6751",
"Afghanistan","AFG","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","","230000","450000","150000","270000","","","40000","-240000","","1200000","9000000","180000","100000","0","0","0","0","400000","0","0","","","","","","","","","","","","","","1000000","-700000","1500000","","","46033740","56107246.5","190774431.98","52173421","56823660","48311346","42975262.5","169146608","93591315.3","51533896.765","119435105.715177","23404553.647249","12970147.9832","30790960","","",
"Africa Western and Central","AFW","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","","407459999.6","388679999.7","476659999","642409999.5","518269117.686841","969105150.470566","605378805.49715","778790474.853075","751399198.553945","785673507.757542","-228089204.802763","1172896062.16749","878530340.393694","768217164.303354","338951391.008596","893620026.79566","204429670.558956","1037919132.48478","973621876.651453","2569136447.72938","745524745.925893","1123098833.90661","1195229142.15396","1272495438.80147","2098926061.60975","676874492.37244","958722677.182051","1422874747.84235","-141679614.827451","1956400037.26266","2714542155.71499","1122510432.78973","3186098058.03473","3376793768.94776","3001156796.48667","7788379594.76764","8555624803.6166","11912181297.6405","16188288960.5413","16109418269.8079","15550677631.3808","21620043012.0994","19277602686.2684","18052551166.6035","17102223921.7697","14848472053.8138","12470180649.4482","11190691719.2053","7892500878.13528","9987318459.17108","8734811204.35867","14503269204.4846","10222895718.6128","6285591872.85312",
"Angola","AGO","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","","2399999.9","1860000","2160000","7540000","6690000","50000","-1169999.9","","1870000","2000000","37420000","49049999.9","115810000","104330000","67140000","278000000","234000000","119000000","131000000","200000000","-334800000","664500000","287956000","302100000","170300000","472427000","180559000","411660000","1113970000","2471460000","878620000","2145470000","1743504000","3576971780","2197227820","-1303836930","-37714860","-893342152","1678971010","2205298180","-3227211182.45","-3023770965.83688","-1464627990.88284","-7120017424.4614","3657514667.49327","10028215162.6394","-179517618.92","-7397295409.18991","-6456076413.12033","-4098478747.63755","-1866468113.07454","-4355116552.71589","-6598652652.09389","-2119632185.51477",
"Albania","ALB","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","","","20000000","58000000","53000000","70000000","90100000","47500000","45010000","41200000","143000000","207300000","135000000","178036400.666667","341285112.537562","262479012.637464","325138316.803697","652275603.722803","1247181714.30558","1345415233.65619","1089898207.57431","1048706682.05458","917994575.801857","1254150555.51294","1149927985.77736","989578334.828616","1044389554.85795","1022757857.07377","1204383363.60476","1201022154.46643","1069744879.65453","1218586452.37158","1441381891.41694","1620982550.5431",
"Andorra","AND","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","","489809999.8","47852734.621803","267977643.702819","-691490283.776953","-3399182606.66216","1474964060.39274","406538235.221491","924430386.842686","638527390.915861","-137420541.860675","-3211683186.33158","7107307475.33002","11797986204.3714","5637820865.74215","6253971511.46118","2022484766.22151","2333917876.22081","12216556.7856191","1628746427.10903","1312830828.2652","2965072741.97421","1539666831.05693","1275659848.79316","3668183810.71317","5345517984.10083","54557635.7750655","2900746749.01061","6659528826.9066","7698094086.49395","3343045556.4819","3359295858.36541","4885560395.62231","4740611375.68664","9220368532.77518","11359894230.7873","28205410126.7613","51626696957.5618","64253180643.3192","65011123058.3702","37230110560.4085","35832802132.7866","26907063495.5217","36878621042.5434","33871022116.7001","25020383160.3313","29569608202.2071","53863853651.6689","34249251377.2239","46940128416.2678","38068745967.3474","30442331974.4138","64924757681.8746","79425427153.4103","65560411723.3985",
"United Arab Emirates","ARE","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","","7780000","6940000","10510000","3410000","1629999.9","15949999.9","49430000","112239999.9","39119999.9","64579999.9","97640000","-16940000","95060000","45539999.9","170240000","-220960000","110209999.9","46719999.9","188889999.9","38789999.9","-57651390","10441830","15196200","30759460","577000890","62466870","128613430","231131680","127300070","317106420","423667090","213701290","441116410","991150440","2208000000","3750300000","10891763100","14567733150","15820300000","2722900000","2015000000","2178000000","2536010990","8828337870","11735900000","16691600000","15711400000","14059946000","15079292000","21226160000","18937330000","22545950000","24833220000","22328110000",
"Argentina","ARG","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","","89769999.9","125670000","71719999.9","100250000","17920000","55590000","244680000","144000000","250000000","206000000","678000000","837000000","227000000","185000000","268000000","919000000","574000000","-19000000","1147000000","1028000000","1836000000","2439000000","4430977523.08015","2793085410.09827","3634931878.26435","5609423403.56467","6948536686.64725","9160272052.4446","7290657132.08156","23987696389.6428","10418314339.1428","2166136829.76399","2148910000","1652010000","4124710000","5265250000","5537347786.19331","6473157762.12915","9725553129.52469","4017158924.88408","11332718626.4345","10839930944.6815","15323933916.8241","9821661858.15874","5065335541.96486","11758994011.286","3260164341.77393","11516861462.2845","11716769818.7543","6649187837.98606","4884127675.95708","6658049679.27728","15200600517.715","23866141439.654",
